Id,cluster,top_categories
7705031674,0,"['01.12.99', '01.02.10.13.11', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7714097262,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7743023522,23,"['01.19.10.18', '01.20.07.11.03.01.02', '03.08.03.01.01.02', '01.02.10.44.04', '01.20.06.04.01']"
7714045360,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7735062750,38,"['01.19.10.18', '01.02.10.44.01', '01.20.03.04.04.01', '01.02.10.44.04', '01.20.06.04.01']"
7714082636,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7720152070,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7735598887,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7719138723,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7708006274,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7716237684,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
5031012693,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7723084936,8,"['01.20.05.03.04.01', '01.02.10.44.01', '01.02.10.44.15', '01.02.10.44.04', '01.20.06.04.01']"
7732525418,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7733853690,8,"['01.20.05.03.04.01', '01.02.10.44.01', '01.02.10.44.15', '01.02.10.44.04', '01.20.06.04.01']"
7733024083,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7719064084,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7716237691,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7726561792,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7727846494,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7734250208,38,"['01.19.10.18', '01.02.10.44.01', '01.20.03.04.04.01', '01.02.10.44.04', '01.20.06.04.01']"
7703611221,0,"['01.12.99', '01.02.10.13.11', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7720029197,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7721222323,0,"['01.12.99', '01.02.10.13.11', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7710114340,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
9715005363,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7720571804,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7733902193,29,"['03.08.03.01.02.99', '01.20.07.11.03.01.02', '01.11.03.08.01.01', '01.02.10.44.04', '03.08.02.03']"
7727233787,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7716015258,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7725056395,0,"['01.12.99', '01.02.10.13.11', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7731281039,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7727038056,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7714644959,36,"['01.02.10.13.14.01', '01.20.06.04.01', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7713079503,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7710177774,11,"['03.08.01.01.01.07', '03.30.01.02', '03.10.01.01', '01.13.13.05', '03.08.01.01.05.03']"
7719013636,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7718220326,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7726737848,43,"['01.01.14.01', '01.20.06.04.01', '01.02.10.44.01', '01.02.10.44.04', '01.20.03.04.04.01']"
7720270660,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7703363890,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7721314133,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7702038150,70,"['01.02.10.44.04', '01.01.10.01.01', '01.02.10.43.05.06', '03.32.04', '02.17.04.04.99']"
5027075370,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7727028555,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7736048847,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7711063681,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7708000882,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7702132064,4,"['01.02.10.44.04', '01.02.10.43.14', '01.02.10.43.05.26.03', '01.02.10.42.28.01', '02.17.04.04.99']"
7720001850,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7717017875,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7725034169,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7729324609,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7710081367,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7727846180,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7730017480,10,"['01.20.06.04.01', '02.17.04.04.99', '03.08.01.02.01.02', '01.02.10.44.04', '01.02.10.44.01']"
7736615285,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7729410368,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7728231302,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7705002602,52,"['01.15.01.08.02', '01.02.10.13.14.01', '01.11.07.07', '01.20.05.03.04.01', '03.08.01.01.01.07']"
7721676165,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7707085481,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7706517001,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7709181695,0,"['01.12.99', '01.02.10.13.11', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7707821043,0,"['01.12.99', '01.02.10.13.11', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7733150673,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7710125487,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7713333012,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7728670701,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
5077000796,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7735515464,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7728007477,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7703570818,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7729200272,68,"['03.08.03.01.01.02', '01.02.10.44.04', '03.36.09', '03.08.01.01.01.07', '01.02.10.44.01']"
7727063221,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7702036321,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7731522654,70,"['01.02.10.44.04', '01.01.10.01.01', '01.02.10.43.05.06', '03.32.04', '02.17.04.04.99']"
7704242030,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7714972558,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7723927537,0,"['01.12.99', '01.02.10.13.11', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7732111865,0,"['01.12.99', '01.02.10.13.11', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7720800660,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7734244420,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7728007156,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7721015574,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7728021231,0,"['01.12.99', '01.02.10.13.11', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7716566209,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7713401544,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7715894310,0,"['01.12.99', '01.02.10.13.11', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7730519779,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7704029538,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7731173259,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7723196358,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7731557784,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7713781889,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7713034164,60,"['02.17.04.04.99', '01.02.10.42.04', '01.15.09', '01.02.10.44.01', '01.02.10.42.23']"
7725043780,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7729788505,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7719043415,27,"['01.02.10.13.12', '01.02.10.44.26', '01.20.06.04.01', '01.02.10.44.04', '01.02.10.44.01']"
7702833359,38,"['01.19.10.18', '01.02.10.44.01', '01.20.03.04.04.01', '01.02.10.44.04', '01.20.06.04.01']"
7733672292,38,"['01.19.10.18', '01.02.10.44.01', '01.20.03.04.04.01', '01.02.10.44.04', '01.20.06.04.01']"
7723595539,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7719029594,68,"['03.08.03.01.01.02', '01.02.10.44.04', '03.36.09', '03.08.01.01.01.07', '01.02.10.44.01']"
7736076587,8,"['01.20.05.03.04.01', '01.02.10.44.01', '01.02.10.44.15', '01.02.10.44.04', '01.20.06.04.01']"
7727824902,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7709210297,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7727177370,0,"['01.12.99', '01.02.10.13.11', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7705039232,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7722093624,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7729530457,38,"['01.19.10.18', '01.02.10.44.01', '01.20.03.04.04.01', '01.02.10.44.04', '01.20.06.04.01']"
7721062542,0,"['01.12.99', '01.02.10.13.11', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7743068153,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7719019363,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
9715217689,0,"['01.12.99', '01.02.10.13.11', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7705480398,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7732004550,0,"['01.12.99', '01.02.10.13.11', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
5074019220,10,"['01.20.06.04.01', '02.17.04.04.99', '03.08.01.02.01.02', '01.02.10.44.04', '01.02.10.44.01']"
7725247752,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7727267994,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7720270701,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7710350884,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7733020995,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7718230758,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7704177310,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7735128049,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7714342436,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7717038138,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
5003021640,36,"['01.02.10.13.14.01', '01.20.06.04.01', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7733006687,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7733150761,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7743103915,19,"['01.19.10.19', '01.20.07.11.03.01.02', '01.20.03.04.03.03', '01.02.10.13.12', '03.12.01.02']"
7719247881,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7703173546,35,"['01.17.03.06.02', '01.20.03.04.04.01', '02.17.04.08', '01.02.10.44.30.01', '01.19.10.17.01']"
7727123537,0,"['01.12.99', '01.02.10.13.11', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7721267765,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7726317748,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7720260372,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7719894832,0,"['01.12.99', '01.02.10.13.11', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7720807143,43,"['01.01.14.01', '01.20.06.04.01', '01.02.10.44.01', '01.02.10.44.04', '01.20.03.04.04.01']"
7727190251,0,"['01.12.99', '01.02.10.13.11', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7735096823,38,"['01.19.10.18', '01.02.10.44.01', '01.20.03.04.04.01', '01.02.10.44.04', '01.20.06.04.01']"
7715969269,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7735525984,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7721804748,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7728887366,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7733121993,0,"['01.12.99', '01.02.10.13.11', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7722266186,0,"['01.12.99', '01.02.10.13.11', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7737119096,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7721237506,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7733820977,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7715731322,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7709157090,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7737077872,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7720325492,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7705041520,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
5074014078,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7703014401,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7713795923,36,"['01.02.10.13.14.01', '01.20.06.04.01', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7728261681,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7722086539,38,"['01.19.10.18', '01.02.10.44.01', '01.20.03.04.04.01', '01.02.10.44.04', '01.20.06.04.01']"
7743020747,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7727846487,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7719046800,64,"['01.02.10.54.04', '01.01.14.01', '01.02.10.13.04', '01.02.10.13.14.01', '01.02.10.13.12']"
7728122631,0,"['01.12.99', '01.02.10.13.11', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7720080355,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7729787389,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7737078410,0,"['01.12.99', '01.02.10.13.11', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7712019300,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7730160480,0,"['01.12.99', '01.02.10.13.11', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
7708057984,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7733814148,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7726760660,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7728261353,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7727801856,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
5007023408,36,"['01.02.10.13.14.01', '01.20.06.04.01', '01.20.03.04.04.01', '01.02.10.13.12', '01.02.10.44.04']"
5003021368,28,"['01.10.01.01.01', '01.02.10.44.04', '02.17.04.04.99', '01.19.10.19', '01.20.03.04.04.01']"
7743656437,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7718103950,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7720270028,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7713039050,51,"['03.36.05', '02.17.04.04.99', '01.02.10.44.15', '01.02.10.44.04', '01.02.10.44.01']"
7733091386,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7704054943,22,"['01.20.05.03.04.01', '01.20.06.04.01', '01.20.07.11.03.01.01', '02.17.04.04.99', '01.02.10.44.26']"
7729421592,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
7734703698,15,"['01.20.07.11.03.01.02', '01.20.03.04.04.01', '01.02.10.13.12', '01.20.06.04.01', '01.02.10.44.04']"
